caseref;category;type;country;q;responsible;dead;expire_date;alt_ref;notes;parent_caseref;parent_country;container_caseref;container_country;title;title_official;abstract;description;client_name;client_ref;applicant1_name;applicant2_name;inventor1_name;inventor1_company;inventor2_name;inventor2_company;inventor3_name;inventor3_company;inventor4_name;inventor4_company;inventor5_name;inventor5_company;inventor6_name;inventor6_company;inventor7_name;inventor7_company;inventor8_name;inventor8_company;inventor9_name;inventor9_company;agent_name;agent_ref;filing_date;filing_number;priority_date;priority_country;priority_number;publication_date;publication_number;grant_date;grant_number;entry_date;examination_date;
;DSG;;US;;fz.ye;0;11/3/2040;;;CPT0306-D;;;;Antenna;;;;Computime Ltd;;;;CHEUNG TL;;WEI Qing Hu ;;;;;;;;;;;;;;;;Kasha Law LLC;CPT0306-D;26/9/2023;29/912.925;;;;;US-D1066309-S;11/3/2025;D1066309;;;
;DSG;;CN;;fz.ye;0;;;;CPT0306-CN;;;;4G LTE IoT Antenna;;;;;;;;TL Cheung ;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0306-CN;;;;;;;;;;;;
;DSG;;EP;;fz.ye;0;;;;CPT0306-EP;;;;4G LTE IoT Antenna;;;;;;;;TL Cheung ;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0306-EP;9/2/2024;015050232-0001;;;;;;;;;;
;DSG;;UK;;fz.ye;0;;;;CPT0306-UK;;;;4G LTE IoT Antenna;;;;;;;;TL Cheung ;;;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0306-UK;9/2/2024;6345944.0 ;;;;;;;;;;
77921808;;;US;;fz.ye;0;;;;;;;;A Local Computing Cloud that is Interactive with a Public Computing Cloud;;;A home computing cloud (HCC) supports one or more Internet of Things (IoT) devices, possibly with different connectively protocols, in a local environment. The HCC often reduces the amount of data traffic sent to a public computing cloud (PCC) by locally processing collected device data rather than by sending the device data to the PCC for processing. This approach reduces the amount of data traffic sent over the network, improves data privacy and helps to maintain a desired quality of service level. In order to do so, the HCC may download an appropriate data analytic model from the PCC, train the model, execute the trained model to obtain prediction information from collected IoT device data, and upload the trained model to the PCC. Alternatively, the HCC and PCC may execute sub-models of the analytic model and exchange the outputs of the sub-models with each other.;Computime Ltd;;;;CHOI Hung Bun;;PANG Tsang Gideon Sui ;;CHU Chun Kit;;;;;;;;;;;;;;Banner & Witcoff ;;6/4/2020;16/840648;;;;7/10/2021;US 20210311846 A1;23/5/2023;11656966;;;
PCT/US2021/025943;PAT;;CN;;fz.ye;0;;;;011398.00257\CN;;;;A Local Computing Cloud that is Interactive with a Public Computing Cloud;;;与公共计算云交互的本地计算云;金宝通有限公司;;;;蔡鸿彬;;吉迪恩·穂·庞曾;;朱俊杰;;;;;;;;;;;;;;北京安信方达知识产权代理有限公司;011398.00257\CN;17/4/2025;202510486058X;;;;;CN120342798A;;;;;
;;;EP;;fz.ye;1;;;;11398.00232\EP;;;;A Local Computing Cloud That Is Interactive With A Public Computing Cloud;;;A home computing system (cloud) integrates a protocols gateway, WiFi router, cloud server, and mass storage device to support one or more Internet of Things (IoT) devices, possibly with different connectively protocols, in a local environment such as a residential home. The home computing cloud often reduces the amount of data traffic sent to a public computing cloud by locally processing collected device data rather than by sending the device data to the public computer cloud for processing. The home computing cloud may download an appropriate data analytic model from the public computing cloud, locally train (for example, reinforcement learning) the model, and locally execute the trained model to obtain prediction information from collected IoT device data. The home computing cloud also allows direct access of the connected IoT devices by user applications via the internet, through a protocols gateway and an IoT message translator.;Computime Ltd;;;;CHOI Hung Bun;;PANG Tsang Gideon Sui ;;CHU Chun Kit;;;;;;;;;;;;;;"	Dehns";11398.00232\EP;6/4/2021;21785519.6;;;;15/2/2023;"	EP4133695";;;;;
11398.0021;PAT;;CN;;fz.ye;0;6/4/2041;;;011398.00231\CN;;;;A Local Computing Cloud that is Interactive with a Public Computing Cloud 与公共计算云交互的本地计算云;;;家庭计算云(HCC)可能在本地环境中使用不同的连接协议支持一个或多个物联网(IoT)设备。通常，该HCC通过在本地处理收集的设备数据而不是通过将该设备数据发送到公共计算云(PCC)以进行处理来减少发送到该PCC的数据流量的量。这种方法减少了通过网络发送的数据流量的量，改进了数据隐私并且有助于维持期望的服务质量水平。为了这样做，该HCC可从该PCC下载适当的数据分析模型，训练该模型，执行经训练的模型以从收集的IoT设备数据获得预测信息，并将该经训练的模型上传到该PCC。替代地，该HCC和该PCC可执行该分析模型的子模型并相互交换这些子模型的输出。;金宝通电子（深圳）有限公司;;;;蔡鸿彬;;吉迪恩·穂·庞曾;;朱俊杰;;;;;;;;;;;;;;深圳市惠邦知识产权代理事务所;011398.00231\CN;6/4/2021;2021800357801;;;;31/1/2023;CN115668868A;2/5/2025;2021800357801 ;;;
91586111;PAT;;US;;fz.ye;0;;;;CPT0004-US;;;;A Modular Electric Vehicle Charger Housing System;;;An EV charger includes a modular housing system that includes a first housing and a second housing. The first housing is adapted to enclose electrical circuitry that connects power source inputs from a power source input cable to EV charging outputs of an EV charging output cable. The first housing includes a first port and a second port. The first housing receives the input cable through the first port and sends the output cable through the second port. The second housing includes multiple ports. The second housing receives the output cable through one of its ports. The second housing further includes an EV charging socket or a tethered EV charger connector for charging an EV. In one embodiment, the second housing can be separated from the first housing using a conduit. In another embodiment, the second housing can be directly connected to the first housing.;;;;;SHUM Wai Yin;;HO Michael;;;;;;;;;;;;;;;;KASHA LAW LLC;CPT0004-US;24/1/2024;18/421047;;;;19/12/2024;20240416771;;;;;
011398.00131;;;EP;;fz.ye;1;;;;11398.00155\EU;;;;A Scalable Smart Environment Using a Gateway Thermostat;;;Building blocks for a smart device such as a thermostat include a user interface (UI) unit (101) and a terminal (TML) unit (102). A UI unit may support one or more input data from a user and/or sensors and/or one or more control terminals. The UI unit may process each input datum or a combination of the input data, generate a control signal to one or more control terminals based on the processing, and send the control signal to one or more control terminals over a communication channel (151). A terminal unit, which may consist of one or more control terminals, transforms the received control signal into one or more controls to one or more associated environmental generators. One or more UI units may control one or more controlled apparatuses in conjunction with a mobile app to allow a unified user experience.;Computime Ltd;;;;CHOI Hung Bun;;HA Wai-Leung;;CHAN Leung Yin;;NG Yau Wai;;LIU Chi Chung;;LIU Luke;;LEE Tsz Kin;;CHAN Chi Lung;;YILMAZ Hamza;;"	Dehns";11398.00155\EU;6/11/2018;18204650.8;;;;8/5/2019;EP3480668;;;;;
