"caseref";"category";"type";"country";"origin";"responsible";"dead";"expire_date";"alt_ref";"notes";"parent_caseref";"parent_country";"container_caseref";"container_country";"title";"title_official";"client_name";"client_ref";"applicant1_name";"applicant2_name";"inventor1_name";"inventor1_company";"inventor2_name";"inventor2_company";"inventor3_name";"inventor3_company";"agent_name";"agent_ref";"filing_date";"filing_number";"priority_date";"priority_country";"priority_number";"publication_date";"publication_number";"grant_date";"grant_number";"entry_date";"examination_date"
"PAT001";"PAT";"PRO";"US";"";"phpipuser";"0";"2015-04-04";"";"";"";"";"";"";"Trip planning with energy constraint";"Trip Planning with Energy Constraint";"Tesla Motors Inc.";"";"Tesla Motors Inc.";"";"BAGLINO Andrew D.";"Tesla Motors Inc.";"HAYER Thorsten";"Tesla Motors Inc.";"PARYANI Ravi N.";"Tesla Motors Inc.";"";"";"2014-04-04";"61/975534";"";"";"";"";"";"";"";"";""
"PAT001";"PAT";"";"WO";"";"phpipuser";"1";"2016-11-04";"";"";"";"";"PAT001";"US";"";"";"";"";"";"";"";"";"";"";"";"";"Intl Patent Firm";"";"2015-03-19";"2015US21556";"2014-04-04";"US";"61/975534";"2015-10-08";"2015153140";"";"";"";""
"PAT001";"PAT";"";"EP";"WO";"phpipuser";"0";"2035-03-19";"";"";"PAT001";"WO";"PAT001";"US";"";"";"";"";"";"";"";"";"";"";"";"";"EP Agent GmbH";"AKUB30001";"2015-03-19";"15772400.6";"2014-04-04";"US";"61/975534";"2017-02-08";"3126183";"";"";"2016-09-27";""
"PAT001";"PAT";"";"CN";"WO";"phpipuser";"0";"2035-03-19";"";"";"PAT001";"WO";"PAT001";"US";"";"";"";"";"";"";"";"";"";"";"";"";"CN Agent Co.";"";"2015-03-19";"2015818677";"2014-04-04";"US";"61/975534";"2016-11-23";"106163862";"";"";"2017-12-03";""
"PAT001";"PAT";"";"JP";"WO";"phpipuser";"0";"2035-03-19";"";"";"PAT001";"WO";"PAT001";"US";"";"";"";"";"";"";"";"";"";"";"";"";"JP Agent KK";"";"2015-03-19";"20160560723";"2014-04-04";"US";"61/975534";"2017-05-25";"2017513006";"";"";"2016-10-03";""
"PAT001";"PAT";"";"KR";"WO";"phpipuser";"0";"2035-03-19";"";"";"PAT001";"WO";"PAT001";"US";"";"";"";"";"";"";"";"";"";"";"";"";"KR Agent LLC";"";"2015-03-19";"20167028374";"2014-04-04";"US";"61/975534";"2016-11-28";"20160135753";"";"";"2016-10-12";""
"PAT001";"PAT";"";"US";"WO";"phpipuser";"0";"2035-03-19";"";"";"PAT001";"WO";"PAT001";"US";"";"";"";"";"";"";"";"";"";"";"";"";"US Attorney LLP";"P0653-2NUS";"2015-03-19";"20151530173";"2014-04-04";"US";"61/975534";"2017-02-02";"2017030728";"";"";"2016-10-04";"2017-07-28"
"PAT002";"PAT";"";"FR";"";"phpipuser";"0";"2040-06-15";"";"";"";"";"";"";"Novel battery design";"Nouveau design de batterie";"Volta Energy SA";"";"Volta Energy SA";"";"DUPONT Marie";"Volta Energy SA";"MUELLER Hans";"Volta Energy SA";"";"";"FR Patent SARL";"VOL-2020-FR";"2020-06-15";"2020FR12345";"";"";"";"";"";"";"";"";""
"PAT002";"PAT";"";"EP";"";"phpipuser";"0";"2040-06-15";"";"";"PAT002";"FR";"PAT002";"FR";"";"";"";"";"";"";"";"";"";"";"";"";"EP Agent GmbH";"VOL-EP-001";"2021-06-10";"21305789";"2020-06-15";"FR";"2020FR12345";"2023-01-11";"4012345";"";"";"2021-06-10";""
"TM001";"TM";"";"FR";"";"phpipuser";"0";"2034-03-01";"";"";"";"";"";"";"";"VOLTAMARK";"Volta Energy SA";"";"Volta Energy SA";"";"";"";"";"";"";"";"";"";"2024-03-01";"FR24-00123";"";"";"";"";"";"";"";"";""
